,id_station_itinerance,periode,periode_h,nb_pdc,hs,inactif,sature,surcharge,actif,sature_h,surcharge_h,periode_iso,parc_id,operateur,parc_nature,geometry
0,FRELCPCLFJL,2025-05-02,7,6,55.0,5.0,0.0,0.0,0.0,True,False,2025-05-02 07:00:00,parc 1634,Electra,echangeur,POINT (3.1196499999999996 45.792080000000006)
1,FRIOYP7119M891790Z,2025-05-02,9,4,0.0,0.0,20.0,0.0,40.0,True,False,2025-05-02 09:00:00,parc 1160,Ionity,aire de service,POINT (1.4200880000000005 46.31409200000001)
2,FRPD1PVDTPSA,2025-05-02,9,3,0.0,0.0,25.0,0.0,35.0,True,False,2025-05-02 09:00:00,parc 1378,Power Dot France,echangeur,POINT (6.693173999999998 43.452292999999976)
3,FRSE1PSE54LMBA,2025-05-02,10,3,45.0,15.0,0.0,0.0,0.0,True,False,2025-05-02 10:00:00,parc 2074,STATIONS-E,echangeur,POINT (6.117467 48.937161)
4,FRTSLP1734,2025-05-02,15,4,0.0,0.0,25.0,0.0,35.0,True,False,2025-05-02 15:00:00,parc 1244,Tesla,aire de service,POINT (5.897995999999999 45.593224000000006)
5,FRTSLP1734,2025-05-02,16,4,0.0,0.0,25.0,0.0,35.0,True,False,2025-05-02 16:00:00,parc 1244,Tesla,aire de service,POINT (5.897995999999999 45.593224000000006)
6,FRTSLP1760,2025-05-02,7,4,0.0,10.0,20.0,0.0,30.0,True,False,2025-05-02 07:00:00,parc 2893,Tesla,echangeur,POINT (1.9963040000000003 48.924817)
7,FRTSLP1760,2025-05-02,11,4,0.0,0.0,20.0,0.0,40.0,True,False,2025-05-02 11:00:00,parc 2893,Tesla,echangeur,POINT (1.9963040000000003 48.924817)
8,FRTSLP1760,2025-05-02,12,4,0.0,0.0,35.0,0.0,25.0,True,False,2025-05-02 12:00:00,parc 2893,Tesla,echangeur,POINT (1.9963040000000003 48.924817)
9,FRTSLP1760,2025-05-02,13,4,0.0,0.0,45.0,0.0,15.0,True,False,2025-05-02 13:00:00,parc 2893,Tesla,echangeur,POINT (1.9963040000000003 48.924817)
10,FRTSLP1760,2025-05-02,18,4,0.0,0.0,20.0,0.0,40.0,True,False,2025-05-02 18:00:00,parc 2893,Tesla,echangeur,POINT (1.9963040000000003 48.924817)
11,FRTSLP1760,2025-05-02,21,4,0.0,20.0,20.0,0.0,20.0,True,False,2025-05-02 21:00:00,parc 2893,Tesla,echangeur,POINT (1.9963040000000003 48.924817)
12,FRTSLP1760,2025-05-02,23,4,0.0,0.0,35.0,0.0,25.0,True,False,2025-05-02 23:00:00,parc 2893,Tesla,echangeur,POINT (1.9963040000000003 48.924817)
13,FRTSLP29159,2025-05-02,20,12,0.0,0.0,20.0,20.0,20.0,True,False,2025-05-02 20:00:00,parc 2071,Tesla,echangeur,POINT (2.5106849999999996 48.985279000000006)
