,id_station_itinerance,hs,inactif,sature,surcharge,actif
0,FRIOYP2BQ7FDSYMJ14,0.0,0.0,0.0,20.0,40.0
1,FRIOYP7119M891790Z,0.0,0.0,20.0,0.0,40.0
2,FRIOYPU1EB0TJUREN,0.0,0.0,0.0,30.0,30.0
3,FRPD1PVDTPSA,0.0,0.0,25.0,0.0,35.0
4,FRTSLP1734,0.0,0.0,25.0,0.0,35.0
5,FRTSLP1734,0.0,0.0,25.0,0.0,35.0
6,FRTSLP1742,0.0,0.0,0.0,30.0,30.0
7,FRTSLP1744,0.0,0.0,5.0,25.0,30.0
8,FRTSLP1760,0.0,10.0,20.0,0.0,30.0
9,FRTSLP1760,0.0,0.0,20.0,0.0,40.0
10,FRTSLP1760,0.0,0.0,35.0,0.0,25.0
11,FRTSLP1760,0.0,0.0,45.0,0.0,15.0
12,FRTSLP1760,0.0,0.0,20.0,0.0,40.0
13,FRTSLP1760,0.0,20.0,20.0,0.0,20.0
14,FRTSLP1760,0.0,0.0,35.0,0.0,25.0
15,FRTSLP2583,0.0,0.0,10.0,15.0,35.0
16,FRTSLP27649,0.0,0.0,5.0,30.0,25.0
17,FRTSLP28329,0.0,0.0,5.0,25.0,30.0
18,FRTSLP29159,0.0,0.0,0.0,30.0,30.0
19,FRTSLP29159,0.0,0.0,0.0,25.0,35.0
20,FRTSLP29159,0.0,0.0,10.0,25.0,25.0
21,FRTSLP29159,0.0,0.0,10.0,10.0,40.0
22,FRTSLP29159,0.0,0.0,5.0,15.0,40.0
23,FRTSLP29159,0.0,0.0,0.0,20.0,40.0
24,FRTSLP29159,0.0,0.0,0.0,20.0,40.0
25,FRTSLP29159,0.0,0.0,0.0,25.0,35.0
26,FRTSLP29159,0.0,0.0,15.0,15.0,30.0
27,FRTSLP29159,0.0,0.0,15.0,20.0,25.0
28,FRTSLP29159,0.0,0.0,5.0,25.0,30.0
29,FRTSLP29159,0.0,0.0,15.0,30.0,15.0
30,FRTSLP29159,0.0,0.0,20.0,20.0,20.0
31,FRTSLP2987,0.0,0.0,5.0,25.0,30.0
32,FRTSLP29904,0.0,0.0,15.0,15.0,30.0
33,FRTSLP29982,0.0,0.0,0.0,25.0,35.0
34,FRTSLP29982,0.0,0.0,0.0,20.0,40.0
35,FRTSLP30237,0.0,0.0,0.0,20.0,40.0
36,FRTSLP30237,0.0,0.0,0.0,20.0,40.0
37,FRTSLP30237,0.0,0.0,0.0,35.0,25.0
38,FRTSLP30253,0.0,0.0,10.0,10.0,40.0
39,FRTSLP3826,0.0,0.0,10.0,10.0,40.0
